company_index,customer_name,street,building_no,postal_code,city,country_code,full_address_raw,tour_type,requires_frozen_food,time_window_start,time_window_end,service_time_minutes,monday,tuesday,wednesday,thursday,friday,saturday,delivery_notes,duration_matrix_index,google_api_customer_id,is_active
479-2,Alnatura Uster,Zürcherstrasse 14,14,8610,Uster,CH,"Zürcherstrasse 14, 8610 Uster",SPEZ,f,,,,f,f,f,t,f,f,Mit Stöckenweid zusammen ohne Fortuna,36,479-2,t
481,Wild Bowls,Bleicherweg 50,50,8001,Zürich,CH,"Bleicherweg 50, 8001 Zürich",TK,t,,,,f,f,f,f,f,f,Auf Abruf,78,481,t
484,Restaurant Beke,Bertastrasse 16,16,8003,Zürich,CH,"Bertastrasse 16, 8003 Zürich",,f,07:25:00,10:00:00,,f,f,f,f,f,t,Ware in dier Küche deponieren,19,484,t
486,Bioladen Stöckenweid,Schulhausstrasse 18,18,8706,Meilen,CH,"Schulhausstrasse 18, 8706 Meilen",,f,06:15:00,06:30:00,,t,t,t,t,t,t,"Haupteingang,",11,486,t
488,Restaurant Blaue Ente,Seefeldstrasse 223,223,8008,Zürich,CH,"Seefeldstrasse 223, 8008 Zürich",,f,,11:30:00,,f,t,t,t,t,t,Eingang rechts > in die Küche stellen,13,488,t
490,Genossenschaft Ortoloco,Spreitenbacherstrasse 35,35,8953,Dietikon,CH,"Spreitenbacherstrasse 35, Dietikon",,f,10:00:00,10:00:00,,f,t,f,t,f,f,"Beim Fondlihof > durch das Scheunentor rechts zum Zentraldepot >auf den Tisch, Retouren bei der Türe / bis 10 Uhr liefern",74,490,t
497,Chez Nous ZH GmbH,Röschlibachstrassse 79,79,8037,Zürich,CH,"Röschlibachstrassse 79, Zürich",TK,t,07:05:00,,,t,t,t,t,t,t,Auf Abruf ca. 1x im Monat,58,497,t
498,Konsumdepot,Hardturmstrasse 269,269,8005,Zürich,CH,"Hardturmstrasse 269, 8005 Zürich",,f,05:45:00,10:00:00,,f,f,f,t,t,t,"Beim EG links hinter Glastüre, Retouren auch dort",46,498,t
499,Weber Comestibles,Forchstrasse 199,199,8125,Zollikerberg,CH,"Forchstrasse 199, 8125 Zollikerberg",,f,09:15:00,10:00:00,,f,t,f,f,t,f,"Anlieferung über Binzstrasse, Ware und Retouren beim Eingang",31,499,t
501,Novu Campus AG,The Circle 61,61,8058,Flughafen Kloten,CH,"The Circle 61, Anlieferung B1, Flughafen Kloten",TK,t,,,,f,f,f,f,t,f,"linke Spur nehmen,1. Einfahrt TG, PP B1, mit Lift hoch, nach rechts im Restaurant abliefern",90,501,t
502,Prvatklinik Bethanien,Toblerstrasse 51,51,8044,Zürich,CH,"Toblerstrasse 51, 8044 Zürich",,f,06:45:00,,,t,f,t,f,f,t,Beim Lieferanteneingang Küche Türe,55,502,t
503,MAJO,Hauptgasse 12,12,9620,Lichtensteig,CH,"Hauptgasse 12, 9620 Lichtensteig",,f,04:57:00,,,f,f,f,f,f,f,bei PaRadiesLi in die Garage stellen,2,503,t
504,Claro Welt- und Quartierladen,Althoossteig 2,2,8046,Zürich,CH,"Althoossteig 2, 8046 Zürich",,f,05:10:00,09:00:00,,t,t,t,t,t,t,in den Laden stellen,42,504,t
505,Naturlade Wald GmbH,Schlipfstrasse 12,12,8636,Wald,CH,"Schlipfstrasse 12, 8636 Wald",,f,05:30:00,,,f,f,f,f,f,f,Bei Ortimo abladen,6,505,t
512,Batter by Sibille Albertin,Hildastrasse 11,11,8004,Zürich,CH,"Hildastrasse 11, Zürich",,f,,10:00:00,,f,f,f,f,f,f,Auf Abruf bei Restaurant Beke abgeben,20,512,t
516,Lette Badi,Lettensteg 10,10,8005,Zürich (Tel 079 704 64 52 Joachim),CH,"Lettensteg 10, Zürich (Tel 079 704 64 52 Joachim)",,f,08:10:00,09:00:00,,t,f,t,f,t,t,frühstens ab 08:00 Uhr jemand vor Ort. PP bei der Brücke ca. 400m zu Fuss,73,516,t
519,Brot Bistro & Bar Bäckeranlage,Hohlstrasse 67,67,8004,Zürich,CH,"Hohlstrasse 67, Zürich",,f,07:30:00,08:00:00,,f,t,f,f,f,f,Auf Abruf / Ins Restaurant stellen,65,519,t
524,Café des Amis,Nordstrasse 88,88,8037,Zürich,CH,"Nordstrasse 88, 8037 Zürich",,f,07:20:00,08:00:00,,t,t,t,t,t,t,"zwischen 07:30 - 08:00 Uhr abgeben, Personen vor Ort",63,524,t
525,Gate Gourmet Switzerland,Borddienstrasse,,8058,Zürich,CH,"Borddienstrasse, 8058 Zürich",TK,t,,,,f,f,f,f,t,f,"Bei Tor läuten und zur Rampe fahren, Ware wird entgegen genommen",92,525,t
526,Kreisladen GmbH,Untere Heslibachstrasse 19,19,8700,Küsnacht,CH,"Untere Heslibachstrasse 19, Küsnacht",,f,,09:00:00,,f,t,f,t,f,f,in den Laden stellen,12,526,t
87,FC Münchwilen,Weinfelderstrasse 21,21,9542,Münchwilen,CH,"Weinfelderstrasse 21, 9542 Münchwilen",SPEZ,f,,,,f,f,f,f,f,f,"schwarzer Schlüssel beim Eingang, ins Zimmer 610 Office stellen",39,87,t
KORNHAUS-9500,Kornhaus,Sonnenhofstrasse 2,2,9500,Wil,CH,"Sonnenhofstrasse 2, 9500 Wil",,f,,,,t,f,f,f,f,f,,93,KORNHAUS-9500,t
